,Name,lat,lon,amenity
0,Arbutus Village Park,49.249783,-123.15525,park
1,Park Site on Puget Drive,49.247723,-123.168194,park
2,Andy Livingstone Park,49.278923,-123.1055,park
3,Coopers' Park,49.273253,-123.1139,park
4,Devonian Harbour Park,49.294353,-123.134654,park
5,Art Phillips Park,49.285911,-123.120948,park
6,Helmcken Park,49.274814,-123.119555,park
7,May & Lorne Brown Park,49.275188,-123.132046,park
8,Chaldecott Park,49.249092,-123.192177,park
9,Valdez Park,49.252391,-123.1764,park
10,Granville Loop Park,49.267284,-123.13754,park
11,Willow Park,49.264868,-123.122031,park
12,Alice Townley Park,49.268974,-123.073923,park
13,Garden Park,49.268159,-123.058994,park
14,Mosaic Creek Park,49.273323,-123.074121,park
15,Templeton Park,49.278279,-123.058646,park
16,Adanac Park,49.276381,-123.025811,park
17,Bates Park,49.292443,-123.024336,park
18,Callister Park,49.286214,-123.045363,park
19,Clinton Park,49.270355,-123.0509,park
20,Hastings Park,49.282256,-123.039776,park
21,Thunderbird Park,49.268829,-123.028552,park
22,Glen Park,49.249576,-123.082823,park
23,John Hendry (Trout Lake) Park,49.255808,-123.062242,park
24,Jones Park,49.235945,-123.067051,park
25,Malkin Park,49.231959,-123.176845,park
26,Maple Grove Park,49.223703,-123.16013,park
27,McCleery Golf Course,49.220813,-123.170066,park
28,Captain Cook Park,49.21912,-123.033713,park
29,Fraserview Golf Course,49.212251,-123.047869,park
30,Kinross Ravine Park,49.207509,-123.036128,park
31,Hadden Park,49.275353,-123.152513,park
32,Kitsilano Beach Park,49.273431,-123.153901,park
33,Margaret Pigott Park,49.272089,-123.167454,park
34,Point Grey Park Site at Stephens Street,49.272583,-123.166128,park
35,Point Grey Park Site at Trafalgar Street,49.273329,-123.164637,park
36,Vanier Park,49.277049,-123.143159,park
37,Volunteer Park,49.271635,-123.169243,park
38,Oak Park,49.215497,-123.128319,park
39,Jonathan Rogers Park,49.264334,-123.108174,park
40,Beaconsfield Park,49.255546,-123.051302,park
41,Melbourne Park,49.236236,-123.029179,park
42,Renfrew Community Park,49.252129,-123.042896,park
43,Cartier Park,49.237598,-123.097473,park
44,Nat Bailey Stadium,49.242653,-123.106679,park
45,Shaughnessy Park,49.255715,-123.135068,park
46,Oppenheimer Park,49.282645,-123.094313,park
47,MacDonald Park,49.229748,-123.098396,park
48,Moberly Park,49.215602,-123.086219,park
49,Sunset Park,49.222561,-123.096916,park
50,Bobolink Park,49.215075,-123.057615,park
51,Tecumseh Park,49.229752,-123.069846,park
52,Morton Park,49.28768,-123.141955,park
53,Nelson Park,49.282855,-123.129558,park
54,Stanley Park,49.302701,-123.144307,park
55,Spanish Banks Beach Park,49.277063,-123.216909,park
56,West Point Grey Park,49.266301,-123.204312,park
57,Westmount Park,49.271852,-123.214423,park
58,Oak Meadows Park,49.238445,-123.125795,park
59,Aberdeen Park,49.234765,-123.027446,park
60,Ebisu Park,49.205468,-123.132836,park
61,Carolina Park,49.266401,-123.090778,park
62,Habitat Island,49.27221,-123.110791,park
63,Creekway Park,49.288336,-123.036982,park
64,Carnarvon Park,49.256555,-123.171406,park
65,Park Site on Quesnel Drive,49.247623,-123.169948,park
66,Ravine Park,49.240902,-123.155935,park
67,Park Site on Trafalgar Street,49.244396,-123.165105,park
68,Cardero Park,49.292211,-123.128206,park
69,Harbour Green Park,49.290263,-123.121924,park
70,Marina Square,49.292334,-123.131296,park
71,Pioneer Place (Pigeon Park),49.281699,-123.104588,park
72,CRAB Park at Portside,49.284942,-123.102377,park
73,Victory Square,49.282218,-123.110133,park
74,Wendy Poole Park,49.284296,-123.099666,park
75,Balaclava Park,49.244951,-123.175247,park
76,Park Site on Blenheim,49.255575,-123.178934,park
77,Memorial West Park,49.243326,-123.188166,park
78,Charleson Park,49.266995,-123.1242,park
79,Granville Park,49.258105,-123.142395,park
80,Sutcliffe Park,49.268871,-123.134832,park
81,Pandora Park,49.282533,-123.058045,park
82,Salsbury Park,49.277291,-123.067926,park
83,Park Site on Trinity Street,49.289561,-123.059459,park
84,Victoria Park,49.271694,-123.06673,park
85,W.C. Shelly Park,49.263034,-123.072931,park
86,Burrard View Park,49.291253,-123.050513,park
87,Charles Park,49.273407,-123.027661,park
88,Dusty Greenwell Park,49.292113,-123.047643,park
89,Hastings Community Park,49.280637,-123.038884,park
90,Cedar Cottage Park,49.260807,-123.076605,park
91,Kensington Park,49.238478,-123.075308,park
92,Sunnyside Park,49.254924,-123.080752,park
93,Arbutus Park,49.21659,-123.15513,park
94,Elm Park,49.233847,-123.163488,park
95,Kerrisdale Centennial Park,49.233094,-123.158043,park
96,McCleery Park,49.226973,-123.164155,park
97,Everett Crowley Park,49.210985,-123.036321,park
98,Killarney Park,49.227998,-123.04413,park
99,Sparwood Park,49.220024,-123.028777,park
100,Delamont Park,49.265808,-123.152426,park
101,Jean Beaty Park,49.271913,-123.179433,park
102,Seaforth Peace Park,49.271554,-123.145967,park
103,Tatlow Park,49.270068,-123.169609,park
104,Eburne Park,49.206517,-123.129241,park
105,Marpole Park,49.205507,-123.138307,park
106,Riverview Park,49.212238,-123.147342,park
107,William Mackie Park,49.206787,-123.142733,park
108,China Creek North Park,49.264901,-123.083355,park
109,China Creek South Park,49.261581,-123.079352,park
110,Major Matthews Park,49.26158,-123.107238,park
111,Mount Pleasant Park,49.25696,-123.106743,park
112,Robson Park,49.258229,-123.091798,park
113,Tea Swamp Park,49.257091,-123.098595,park
114,Cambie Park,49.221411,-123.117988,park
115,Columbia Park,49.231521,-123.111978,park
116,Langara Golf Course,49.221371,-123.11211,park
117,Carleton Park,49.242002,-123.030451,park
118,Earles Park,49.233476,-123.047702,park
119,Falaise Park,49.256485,-123.031631,park
120,Foster Park,49.234046,-123.028741,park
121,Gaston Park,49.236117,-123.031094,park
122,Slocan Park,49.243921,-123.047574,park
123,Hillcrest Park,49.244734,-123.108417,park
124,Prince Edward Park,49.2512273,-123.0971535,park
125,Queen Elizabeth Park,49.240978,-123.112028,park
126,Riley Park,49.241987,-123.104361,park
127,Angus Park,49.253932,-123.143816,park
128,Devonshire Park,49.24502,-123.13364,park
129,Braemar Park,49.247615,-123.12363,park
130,Douglas Park,49.252493,-123.122225,park
131,Heather Park,49.254765,-123.121103,park
132,Strathcona Park,49.275276,-123.084674,park
133,Thornton Park,49.273946,-123.099212,park
134,Gladstone-Riverside Park,49.205532,-123.056883,park
135,Nanaimo Park,49.227724,-123.057508,park
136,Riverfront Park,49.205951,-123.04575,park
137,Alexandra Park,49.28546,-123.14223,park
138,Barclay Heritage Square,49.28718,-123.132167,park
139,Rosemont Park,49.215746,-123.040816,park
140,Sunset Beach Park,49.281211,-123.139681,park
141,Sahalli Park,49.263885,-123.089121,park
142,Hastings Mill Park,49.27279,-123.186689,park
143,Jericho Beach Park,49.271513,-123.197415,park
144,Choklit Park,49.265482,-123.128905,park
145,George Wainborn Park,49.272541,-123.129311,park
146,Camosun,49.257423,-123.201329,park
147,Arbutus Greenway Park,49.262283,-123.154927,park
148,Yaletown Park,49.277042,-123.118921,park
149,Fraser River Trail,49.200357,-123.135862,park
150,Trillium Park,49.275015,-123.093116,park
151,Prince of Wales Park,49.244397,-123.156429,park
152,Quilchena Park,49.24369,-123.148865,park
153,Trafalgar Park,49.25046,-123.161879,park
154,Cathedral Square,49.282084,-123.113877,park
155,Coal Harbour Park,49.289981,-123.125015,park
156,Creekside Park,49.274415,-123.102924,park
157,David Lam Park,49.272569,-123.124145,park
158,Emery Barnes Park,49.276458,-123.123995,park
159,Portal Park,49.288042,-123.119169,park
160,Roundhouse Turntable Plaza,49.273379,-123.121603,park
161,Sun Yat-Sen Gardens,49.279691,-123.104233,park
162,Deering Island Park,49.218288,-123.184356,park
163,Musqueam Park,49.229331,-123.18998,park
164,Quadra West Park,49.257112,-123.180696,park
165,Cambridge Park,49.286753,-123.062784,park
166,Grandview Park,49.273511,-123.070469,park
167,McGill Park,49.288668,-123.057154,park
168,McSpadden Park,49.265936,-123.066601,park
169,Oxford Park,49.286172,-123.062223,park
170,Woodland Park,49.278526,-123.073387,park
171,Kaslo Park,49.264099,-123.046012,park
172,New Brighton Park,49.290122,-123.037888,park
173,Rupert Park,49.271629,-123.031384,park
174,Sunrise Park,49.266612,-123.035037,park
175,Brewers Park,49.247695,-123.066461,park
176,Clark Park,49.257142,-123.072405,park
177,General Brock Park,49.244757,-123.058517,park
178,Grays Park,49.241136,-123.084974,park
179,Kingcrest Park,49.247499,-123.074674,park
180,Fraser River Park,49.207915,-123.150862,park
181,Champlain Heights Park,49.215527,-123.032545,park
182,Almond Park,49.261014,-123.184543,park
183,Connaught Park,49.262026,-123.160025,park
184,McBride Park,49.268073,-123.179732,park
185,Point Grey Park Site at Trutch Street,49.271658,-123.17617,park
186,Ash Park,49.210597,-123.119435,park
187,Shannon Park,49.215457,-123.142529,park
188,Winona Park,49.215431,-123.114024,park
189,Guelph Park,49.263965,-123.095837,park
190,Montgomery Park,49.231291,-123.130776,park
191,Tisdall Park,49.227725,-123.119693,park
192,Cariboo Park,49.244232,-123.028792,park
193,Collingwood Park,49.237066,-123.036887,park
194,Norquay Park,49.237098,-123.051061,park
195,Price Park,49.251572,-123.097564,park
196,Renfrew Ravine Park,49.247166,-123.044111,park
197,Grimmett Park,49.253954,-123.102003,park
198,Kerrisdale Park,49.235725,-123.152674,park
199,VanDusen Botanical Garden,49.239181,-123.131293,park
200,MacLean Park,49.278838,-123.088396,park
201,Strathcona Linear Park,49.276983,-123.087485,park
202,George Park,49.212608,-123.094228,park
203,Memorial South Park,49.230901,-123.085138,park
204,Ross Park,49.217276,-123.082351,park
205,Fraserview Park,49.215398,-123.067572,park
206,Gordon Park,49.22338,-123.070491,park
207,Humm Park,49.218698,-123.063266,park
208,English Bay Beach Park,49.287118,-123.143317,park
209,Rosemary Brown Park,49.261821,-123.157388,park
210,Langara Park,49.225093,-123.111506,park
211,Park Site on Shaughnessy Street,49.202224,-123.125036,park
212,Locarno Park,49.273015,-123.207284,park
213,Granville Island Water Park,49.26955,-123.135064,park
214,Hinge Park,49.270869,-123.110533,park
215,McAuley Park,49.256978,-123.09,park
